Genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Amour, Royaume",petit,grand,jour,aller,venir,prendre,enfant,savoir,devoir,roi,fille,jeune,passer,père,temps,trouver,jamais,répondre,demander,main
"Courage, Fantaisie, Triller",aller,peur,trouver,sorcier,prendre,homme,monsieur,sortir,grand,petit,jour,toujours,falloir,arriver,venir,argent,partir,travail,avoir peur,heure
"Royaume, Courage, Amour",aller,roi,princesse,grand,venir,jour,trouver,bel,fils,arriver,cheval,demander,donner,mère,eau,prendre,fille,passer,jeune,fort
"Drame, Triller, Courage",aller,enfant,petit,loup,homme,nuit,arbre,femme,pierre,monstre,manger,jour,venir,grand,regarder,forêt,marcher,prendre,maison,porte
"Fantaisie, Royaume",petit,aller,femme,enfant,fille,roi,maison,prendre,trouver,ogre,père,pauvre,grand,venir,être,savoir,fort,reine,manger,jour
"Royaume, Musique",aller,eau,aile,grand,musicien,musique,reine,canard,venir,jour,tête,prendre,autre,savoir,uf,être,bruit,attendre,monde,femme
"Vie, Sagesse, Aventure",sage,jour,prendre,répondre,demander,aller,autre,grand,enfant,fils,savoir,roi,revenir,vie,homme,temps,mère,apprendre,petit,vieil_homme
"Enfant, Famille",petit,aller,maman,grand,mot,savoir,monde,parent,jour,temps,mère,venir,toujours,jamais,école,ours,ciel,couleur,comprendre,enfant
"Nature, Fantaisie",eau,ciel,terre,puits,petit,aller,temps,grand,jour,magicien,trouver,village,oeil,demande,autre,savoir,grenouille,feu,lampe,devoir
"Aventure, Animeaux",petit,grand,jamais,aller,trouver,oiseau,croire,tête,forêt,haut,venir,passer,fleur,savoir,oeil,porte,vieux,blanc,jour,arriver
